0.316465	
0.3649	
0.616495	
0.64646	
1	6
2	
2.1516	
3	2
4	
5	
6	
9.29122	
9.48132	
12.1255	
45	
46	
68	4
78	
95.6495	
97.0666	
121.115	
121.153	
132.655	
179.179	
232	
464	
654	2
659.649	
684	
941.465	
2976.1	
4684	
6491.07	
9731.06	
61684	
64464	
64516	
79870.2	
354654	
415464	
416464	
654646	
1.21543e+06	
3.5168e+06	
6.54642e+06	
6.97961e+06	
3.21365e+07	
6.84685e+07	
1.94598e+08	
9.89165e+08	
1.76937e+09	
3.2103e+09	
8.46468e+09	
9.74911e+09	
9.43179e+10	
5.46462e+11	
6.32797e+13	
